id,name,link,current_price,original_price,discount_rate,rating_average,quantity_sold,authors,seller_name,category,manufacturer,short_description
171097944,Sự trung thực của xác chết – ghi chép của một pháp y,https://tiki.vn/product-p171097944.html?spid=171097945,70000,99000,29,5.0,141,Hajime Nishio,THAIHABOOKS,Phóng Sự - Ký Sự,Nhà Xuất Bản Thế Giới,Sự trung thực của xác chết – ghi chép của một pháp yCông ty phát hành: Thái HàTác giả: Hajime NishioNXB: Thế giớiKhổ: 14x20cmDịch giả: Như NữSố trang: 240 trangNăm xuất bản: 2022[ThaiHaBooks] “Chết...
136482413,Sách Trăm Năm Phở Việt (Phở Việt Du Hành Xuyên Thế Kỷ),https://tiki.vn/product-p136482413.html?spid=158138722,171600,195000,12,5.0,9,,Nhà sách NetaBooks,Phóng Sự - Ký Sự,Nhà Xuất Bản Phụ Nữ,    Trăm Năm Phở Việt (Phở Việt Du Hành Xuyên Thế Kỷ)      Nhà xuất bản : Nhà Xuất Bản Phụ Nữ.  Công ty phát hành : NXB Phụ Nữ.  Tác giả : Trịnh Quang Long.  Kích thước : 15.7 x 23.7 cm.  Số...
95886429,Rong Chơi Miền Chữ Nghĩa - Tập 4,https://tiki.vn/product-p95886429.html?spid=103474889,165300,190000,13,5.0,21,An Chi,Nhà sách Fahasa,Bút Ký - Tự Truyện,Nhà Xuất Bản Tổng hợp TP.HCM,"Từ nhiều năm nay, bạn đọc khắp nơi đã biết đến và ái mộ học giả An chi qua các bài viết của ông được đăng tải trên báo chí. Những bài viết này phần nhiều thuộc lĩnh vực từ nguyên học, tập trung vào vi..."
8297802,Thanh Lịch Như Người Pháp Hiếu Khách Như Người Việt,https://tiki.vn/product-p8297802.html?spid=8297803,113000,160000,29,4.6,298,EVA Nguyen Binh,Tiki Trading,Bút Ký - Tự Truyện,Nhà Xuất Bản Hội Nhà Văn,"Thanh lịch như người Pháp, hiếu khách như người Việt tập hợp những quan sát của tác giả Eva Nguyen Binh về các khác biệt thường thấy nhất trong cuộc sống hằng ngày giữa người Pháp và người Việt, từ cá..."
696241,Thú Ăn Chơi Người Hà Nội (Tập 2),https://tiki.vn/product-p696241.html?spid=21295872,66200,86000,23,4.5,39,Băng Sơn,Nhà sách Fahasa,Phóng Sự - Ký Sự,Nhà Xuất Bản Hà Nội,"Thú Ăn Chơi Người Hà Nội (Tập 2) Lại nhớ những gánh phở xưa,đỗ ở cuối phố mà đầu phố đã ngửi thấy mùi nước dùng thơm lựng. Chỉ khi nhìn thấy những tia lửa vàng tóe ra không gian mới hay ông hàng phở ..."
696176,Thú Lang Thang Người Hà Nội,https://tiki.vn/product-p696176.html?spid=20490158,72200,86000,16,5.0,52,Băng Sơn,Nhà sách Fahasa,Nhà Sách Tiki,Nhà Xuất Bản Hà Nội,"Thú Lang Thang Người Hà Nội “Có người lại thích lang thang đêm. Đêm Hà Nội mới huyền hoặc làm sao. Trước hết, rất an toàn. Đầu ngõ Tràng Tiền tịch lặng, bay lên mùi thơm ngô nướng. Đầu ngõ Phất Lộc c..."
273690146,CHUYỆN ĐỜI CHUYỆN NGHỀ,https://tiki.vn/product-p273690146.html?spid=273690147,340000,460000,26,5.0,6,,PHAN LỆ & FRIENDS,Bút Ký - Tự Truyện,Nhà Xuất Bản Hội Nhà Văn,"CHUYỆN ĐỜI CHUYỆN NGHỀTác giả: Võ Đắc Danh ""Bút ký là thể loại không nhiều nhà văn Việt Nam chọn lựa. Thành danh trong thể loại này ở Việt Nam có thể đếm trên đầu ngón tay. Trong ít ỏi “ngón tay” ..."
273634283,Gia Định Là Nhớ Sài Gòn Là Thương - Tập 2,https://tiki.vn/product-p273634283.html?spid=273634284,101000,138000,27,4.7,51,Cù Mai Công,First News,Sách tiếng Việt,Nhà Xuất Bản Tổng hợp TP.HCM,"Khu Ông Tạ (vốn thuộc Tỉnh Gia Định) nằm bên cạnh Quận 3, Quận 10 thuộc Sài Gòn (tức Sài Gòn 3, Sài Gòn 10 - Theo cách gọi trước 1975). Tuy nhiên, nếu đi từ ngã ba Ông Tạ, theo đường Phạm Hồng Thái (n..."
273622087,Chìm Nổi Ở Sài Gòn - Những Cảnh Đời Bần Cùng Ở Một Thành Phố Thuộc Địa (Haydon Cherry),https://tiki.vn/product-p273622087.html?spid=273622124,194000,259000,25,5.0,2,,Omega Plus Books,Nhà Sách Tiki,NXB Tổng Hợp Thành Phố Hồ Chí Minh,"“Có ba điểm tạo nên giá trị đặc sắc cho Chìm nổi ở Sài Gòn: chủ đề độc đáo – đây là cuốn sách đầu tiên và duy nhất lấy chủ đề trung tâm là thân phận người nghèo Sài Gòn thời thuộc địa, sự nghiên cứu x..."
263102299,Nơi Ánh Sáng Không Bao Giờ Tắt,https://tiki.vn/product-p263102299.html?spid=263102300,114700,149000,23,5.0,1,Bác sĩ Trần Quốc Khánh,Nhà sách Fahasa,Bút Ký - Tự Truyện,Nhà Xuất Bản Công Thương,"    Trong dòng chảy sống động của nghề y, ở nơi người ta cứ ngỡ sẽ chỉ thấy những giọt nước mắt lăn dài nhưng cũng có thể tìm thấy những nụ cười hạnh phúc, tìm thấy biết bao câu chuyện nghị lực của..."
202769881,Tiếng Việt Giàu Đẹp - Đi Tìm Bản Sắc Tiếng Việt (Tái Bản 2022),https://tiki.vn/product-p202769881.html?spid=248655077,94500,105000,10,5.0,7,Trịnh Sâm,Bamboo Books,Sách tiếng Việt,Nhà Xuất Bản Hồng Đức,"Gồm các bài viết của tác giả đã đăng trên các báo. Đúng như tên gọi, nội  dung cuốn sách là những nghiên cứu đặc trưng ngôn ngữ báo chí và khảo sát một số bình diện thuộc phong cách ngôn ngữ cá nh..."
276375085,Bảy Kẻ Khùng Điên,https://tiki.vn/product-p276375085.html?spid=276375086,164000,250000,34,5.0,56,Roberto Arlt,Tiki Trading,Tác Phẩm Kinh Điển Nước Ngoài,Nhà Xuất Bản Hội Nhà Văn,"Giới thiệu sáchBảy Kẻ Khùng Điên của Roberto Arlt là tác phẩm kinh điển của văn học Argentina, với cái nhìn táo bạo về con người và xã hội đầu thế kỷ 20. Nhân vật chính, Remo Erdosain, là một người đ..."
